  42/05/16    1 Retribution
  42/05/23    2 
  42/05/30    3 
  42/06/06    4 
* 42/06/13    5 Shrunken Head
  42/06/20    6 Curse
* 42/06/27    7 Notes in the Night
  42/07/04    8 Draft of Death
  42/07/11    9 
  42/07/18   10 
  42/07/25   11 
  42/08/01   12 
  42/08/08   13 
  42/08/15   14 
* 42/08/22   15 Death Has a Thirst
* 42/08/29   16 The Letter
* 42/09/05   17 House of Greed
* 42/09/13   18 Mirage
* 42/09/20   19 Fog
* 42/09/27   20 Jealousy
* 42/10/04   21 Urge to Kill
* 42/10/11   22 Malice
* 42/10/18   23 Death Comes at Midnight
* 42/10/25   24 The Alibi
  42/11/01   25 
  42/11/08   26 
* 42/11/15   27 Apparition
* 42/11/22   28 The Other Woman
* 42/11/29   29 Avarice
  42/12/06   30 
* 42/12/13   31 The Accounting
  42/12/20   32 
* 42/12/27   33 Double-Cross
* 43/01/03   34 The Weakling
* 43/01/10   35 The Nemesis
* 43/01/17   36 The Thief
* 43/01/24   37 Mind over Matter
* 43/01/31   38 The Confession
* 43/02/07   39 In the Dark
* 43/02/14   40 Legacy of Death
* 43/02/21   41 Fool's Gold
  43/02/28   42 
  43/03/07   43 Purely Coincidental
  43/03/14   44 The Trap
  43/03/21   45 Death at Dawn
* 43/03/28   46 The Penalty
  43/04/04   47 Swamp Rats
  43/04/11   48 Five Bullets
  43/04/18   49 Voice of Death
  43/04/25      Show Pre-empted
* 43/05/01   50 The Killers
* 43/05/08   51 Death Has a Thirst 
* 43/05/15   52 The Man Who Waited
  43/05/22   53 Man from India
* 43/05/29   54 Final Decree
* 43/06/05   55 Shadow of a Mind
* 43/06/12   56 Justice
* 43/06/19   57 House of Fear
* 43/06/26   58 The Blank Wall
* 43/07/02   59 The Avengers
* 43/07/09   60 An Eye for an Eye
  43/07/16   61 
  43/07/23   62 
  43/07/30   63 Necrophobia
* 43/08/06   64 Partners in Crime
* 43/08/13   65 Death in the Air
  43/08/20   66 Paid in Full
  43/08/27   67 Summer Night
* 43/09/03   68 Destiny
* 43/09/10   69 Tangled Web
  43/09/17   70 The Turmoil
* 43/09/24   71 Blind Alley
* 43/10/03   72 Mirage 
  43/10/10   73 As the Chimes Rang
  43/10/17   74 Draught of Death
  43/10/24   75 A Woman and a House
  43/10/31   76 Circumstance
  43/11/07   77 The Urge
  43/11/14   78 The Best Laid Plans
* 43/11/21   79 Patients for the Doctor
* 43/11/28   80 Legacy of Death 
* 43/12/05   81 The Twin
  43/12/12   82 Devil Goes to Paradise
* 43/12/19   83 Death Demands a Payment
  43/12/26   84 Murder Has an Alibi
  44/01/02   85 Satan Holds 5 Aces
  44/01/09   86 Death Sets a Trap
  44/01/16   87 Time out for Murder
  44/01/23   88 Gilded Trap
  44/01/30   89 Obsession
  44/02/06   90 Devil's Trap
* 44/02/13   91 Murder in the Mind
